dist_falha_m,k_falha_mD,fator_pressao,prof_injecao_m,P_ini_MPa,pc_ativada,cenario_geomec,coesao_usada_MPa,atrito_usado_graus,pc_entrada_usada_kPa,swirr_usado,sgr_usado,k_selante_mD,pc_selante_MPa,k_FSASP_mD,nx,ny,nz,P_falha_MPa,ano_pico_pressao,P_reativ_MPa,margem_fratura,margem_reativ,reativacao,slip_tendency,P_reativ_slip_MPa,reativacao_slip,S_selante,S_falha_selo,S_FSASP,S_falha,massa_CO2_kg,vazao_media_CO2_kg_dia,injetividade_kg_dia_MPa,risco
1100.0,1000.0,1.05,3390.05,33.199,true,OTIMISTA,13.889,33.9,50.0,0.4,0.35,0.0001,2.0,100.0,30,1,20,34.942,13,53.876,26.418,18.934,false,0.168,83.42,false,0.0,0.0,0.0,0.5915,1.4795578345661297e7,2026.7915542001774,1221.0047287424104,MEDIO
1100.0,1000.0,1.1,3390.05,33.199,true,PESSIMISTA,2.683,26.4,20.0,0.3,0.25,0.0001,2.0,100.0,30,1,20,36.159,8,38.6,25.201,2.441,false,0.168,64.682,false,0.0,0.0,0.0,0.6947,3.488568555568015e7,4778.861035024676,1439.4701590491402,MEDIO
1100.0,1000.0,1.1,3390.05,33.199,true,CENTRAL,11.283,32.1,35.0,0.35,0.3,0.0001,2.0,100.0,30,1,20,36.128,8,51.2,25.232,15.071,false,0.168,80.039,false,1.2e-5,0.0,0.0,0.6361,3.439476648116104e7,4711.611846734389,1419.2136169453486,MEDIO
1100.0,1000.0,1.1,3390.05,33.199,true,OTIMISTA,13.889,33.9,50.0,0.4,0.35,0.0001,2.0,100.0,30,1,20,36.133,9,53.876,25.227,17.743,false,0.168,83.42,false,0.000103,0.0195,0.0,0.592,3.46993481526853e7,4753.335363381548,1431.7814143146365,MEDIO
1100.0,1000.0,1.2,3390.05,33.199,true,PESSIMISTA,2.683,26.4,20.0,0.3,0.25,0.0001,2.0,100.0,30,1,20,38.524,5,38.6,22.836,0.076,false,0.168,64.682,false,0.001944,0.0,0.0,0.6947,8.602853073158848e7,11784.730237203903,1774.8755806634936,ALTO
1100.0,1000.0,1.2,3390.05,33.199,true,CENTRAL,11.283,32.1,35.0,0.35,0.3,0.0001,2.0,100.0,30,1,20,38.503,5,51.2,22.857,12.697,false,0.168,80.039,false,0.002283,0.0431,0.0,0.6364,8.854471782401168e7,12129.413400549545,1826.7876497031984,ALTO
1100.0,1000.0,1.2,3390.05,33.199,true,OTIMISTA,13.889,33.9,50.0,0.4,0.35,0.0001,2.0,100.0,30,1,20,38.474,6,53.876,22.886,15.403,false,0.168,83.42,false,0.002686,0.4111,0.0,0.5924,9.180648302370948e7,12576.23055119308,1894.0819223540261,ALTO
1100.0,10000.0,1.05,3390.05,33.199,true,PESSIMISTA,2.683,26.4,20.0,0.3,0.25,0.0001,2.0,100.0,30,1,20,34.93,11,38.6,26.43,3.67,false,0.168,64.682,false,0.0,0.0,0.0,0.6972,1.716886829762596e7,2351.8997667980766,1416.8604219992721,MEDIO
1100.0,10000.0,1.05,3390.05,33.199,true,CENTRAL,11.283,32.1,35.0,0.35,0.3,0.0001,2.0,100.0,30,1,20,34.942,11,51.2,26.418,16.257,false,0.168,80.039,false,0.0,0.0,0.0,0.6364,1.6006534154275754e7,2192.6759115446234,1320.938826218899,MEDIO
1100.0,10000.0,1.05,3390.05,33.199,true,OTIMISTA,13.889,33.9,50.0,0.4,0.35,0.0001,2.0,100.0,30,1,20,34.951,13,53.876,26.409,18.925,false,0.168,83.42,false,0.0,0.0,0.0,0.5922,1.5088136799104728e7,2066.86805467188,1245.148107712976,MEDIO
1100.0,10000.0,1.1,3390.05,33.199,true,PESSIMISTA,2.683,26.4,20.0,0.3,0.25,0.0001,2.0,100.0,30,1,20,36.154,8,38.6,25.206,2.445,false,0.168,64.682,false,0.0,0.0,0.0,0.6981,3.548593297679342e7,4861.086709149784,1464.237860671621,MEDIO
1100.0,10000.0,1.1,3390.05,33.199,true,CENTRAL,11.283,32.1,35.0,0.35,0.3,0.0001,2.0,100.0,30,1,20,36.125,8,51.2,25.235,15.074,false,0.168,80.039,false,1.0e-5,0.0,0.0,0.6372,3.502409906236222e7,4797.821789364688,1445.1814446181224,MEDIO
1100.0,10000.0,1.1,3390.05,33.199,true,OTIMISTA,13.889,33.9,50.0,0.4,0.35,0.0001,2.0,100.0,30,1,20,36.138,8,53.876,25.222,17.739,false,0.168,83.42,false,0.000104,0.0,0.0,0.5924,3.539083772754028e7,4848.059962676749,1460.3139941519628,MEDIO
1100.0,10000.0,1.2,3390.05,33.199,true,PESSIMISTA,2.683,26.4,20.0,0.3,0.25,0.0001,2.0,100.0,30,1,20,38.525,5,38.6,22.835,0.075,false,0.168,64.682,false,0.00195,0.0,0.0,0.6983,8.798902641534513e7,12053.291289773306,1815.3230448420043,ALTO
1100.0,10000.0,1.2,3390.05,33.199,true,CENTRAL,11.283,32.1,35.0,0.35,0.3,0.0001,2.0,100.0,30,1,20,38.496,5,51.2,22.864,12.704,false,0.168,80.039,false,0.002296,0.0,0.0,0.6375,9.026342367481942e7,12364.852558194441,1862.2466889196155,ALTO
1100.0,10000.0,1.2,3390.05,33.199,true,OTIMISTA,13.889,33.9,50.0,0.4,0.35,0.0001,2.0,100.0,30,1,20,38.495,5,53.876,22.865,15.381,false,0.168,83.42,false,0.002697,0.1449,0.0,0.5928,9.460083438977328e7,12959.018409557984,1951.7328663053354,ALTO
1700.0,10.0,1.05,3390.05,33.199,true,PESSIMISTA,2.683,26.4,20.0,0.3,0.25,0.0001,2.0,100.0,30,1,20,34.161,19,38.6,27.199,4.439,false,0.168,64.682,false,0.0,0.0,0.0,0.5799,6.1752745201976e6,845
