BLOCO_TOPO_10M,DEPT_TOPO,VSH,PHIE,KX,KZ,FACIES,COESAO_PESSIMISTA,COESAO_CENTRAL,COESAO_OTIMISTA,ATRITO_PESSIMISTA,ATRITO_CENTRAL,ATRITO_OTIMISTA,MAIOR_LACUNA_NO_BLOCO_M,COBERTURA_REAL,FORMACAO,PC_ENTRADA_PA_PESSIMISTA,SWIRR_PESSIMISTA,SGR_RESIDUAL_PESSIMISTA,PC_ENTRADA_PA_CENTRAL,SWIRR_CENTRAL,SGR_RESIDUAL_CENTRAL,PC_ENTRADA_PA_OTIMISTA,SWIRR_OTIMISTA,SGR_RESIDUAL_OTIMISTA,TEMPERATURA_C,TEMPERATURA_C_PESSIMISTA,TEMPERATURA_C_OTIMISTA,KVKH_FORMACAO_CENTRAL
770.0,770.1,0.7754362698528093,0.0545739681139398,0.0001,3.0000000000000005e-06,0,1000000.0,2402274.6857447955,8000000.0,18.0,20.003249551063995,28.0,0.1500000000000909,True,Coqueiro_Seco,5000.0,0.2,0.15,7500.0,0.25,0.2,10000.0,0.3,0.25,39.8618,37.551500000000004,42.1721,0.1
780.0,780.0,0.8374761429853971,0.0399987448336421,0.0001,3.0000000000000005e-06,0,1000000.0,2276540.2722981856,8000000.0,18.0,19.823628960425975,28.0,0.1500000000000909,True,Coqueiro_Seco,5000.0,0.2,0.15,7500.0,0.25,0.2,10000.0,0.3,0.25,40.04,37.7,42.379999999999995,0.1
790.0,790.05,0.7128591565038448,0.081555539297478,0.0001,3.0000000000000005e-06,0,1000000.0,3285429.214971551,8000000.0,18.0,21.264898878530783,28.0,0.1500000000000909,True,Coqueiro_Seco,5000.0,0.2,0.15,7500.0,0.25,0.2,10000.0,0.3,0.25,40.2209,37.85075,42.591049999999996,0.1
800.0,800.1,0.7705123305791521,0.0502057935054038,0.0001,3.0000000000000005e-06,0,1000000.0,3334691.9252886693,8000000.0,18.0,21.335274178983813,28.0,0.1500000000000909,True,Coqueiro_Seco,5000.0,0.2,0.15,7500.0,0.25,0.2,10000.0,0.3,0.25,40.4018,38.0015,42.8021,0.1
810.0,810.0,0.8364902866076058,0.047508551211313,0.0001,3.0000000000000005e-06,0,1000000.0,2773814.600461408,8000000.0,18.0,20.53402085780201,28.0,0.1500000000000909,True,Coqueiro_Seco,5000.0,0.2,0.15,7500.0,0.25,0.2,10000.0,0.3,0.25,40.58,38.15,43.010000000000005,0.1
820.0,820.05,0.6831441405748344,0.0921560836229815,0.0001,3.0000000000000005e-06,0,1000000.0,2758184.0235819514,8000000.0,18.0,20.51169146225993,28.0,0.1500000000000909,True,Coqueiro_Seco,5000.0,0.2,0.15,7500.0,0.25,0.2,10000.0,0.3,0.25,40.7609,38.30075,43.22105,0.1
830.0,830.1,0.8331916832656134,0.0351442728660675,0.0001,3.0000000000000005e-06,0,1000000.0,2661006.9874852337,8000000.0,18.0,20.372867124978903,28.0,0.1500000000000909,True,Coqueiro_Seco,5000.0,0.2,0.15,7500.0,0.25,0.2,10000.0,0.3,0.25,40.9418,38.451499999999996,43.432100000000005,0.1
840.0,840.0,0.6724857092685267,0.0855831750289086,0.0001,3.0000000000000005e-06,0,1000000.0,3408608.3789394097,8000000.0,18.0,21.440869112770585,28.0,0.1500000000000909,True,Coqueiro_Seco,5000.0,0.2,0.15,7500.0,0.25,0.2,10000.0,0.3,0.25,41.12,38.6,43.64,0.1
850.0,850.05,0.8166056414628388,0.0380695802128331,0.0001,3.0000000000000005e-06,0,1000000.0,2696967.435488511,8000000.0,18.0,20.42423919355501,28.0,0.1500000000000909,True,Coqueiro_Seco,5000.0,0.2,0.15,7500.0,0.25,0.2,10000.0,0.3,0.25,41.3009,38.75075,43.85105,0.1
860.0,860.1,0.6546896553978018,0.084636138514105,2.9099707094439684,3.142857094350444e-06,0,1090909.0909090908,3713200.18881229,8318181.818181818,18.454545454545453,21.96065334649478,28.318181818181817,0.1500000000000909,True,Coqueiro_Seco,5000.0,0.2,0.15,7500.0,0.25,0.2,10000.0,0.3,0.25,41.4818,38.9015,44.0621,0.1
870.0,870.0,0.6794970719884428,0.088594409475003,2.676275197067856,3.1406249507259506e-06,0,1089552.2388059702,3536407.731820565,8313432.835820896,18.44776119402985,21.74697859122664,28.31343283582089,0.1500000000000909,True,Coqueiro_Seco,5000.0,0.2,0.15,7500.0,0.25,0.2,10000.0,0.3,0.25,41.66,39.05,44.269999999999996,0.1
880.0,880.05,0.9725937156051008,0.0128784951013346,0.0001,3.0000000000000005e-06,0,1000000.0,2619050.499612914,8000000.0,18.0,20.312929285161307,28.0,0.1500000000000909,True,Coqueiro_Seco,5000.0,0.2,0.15,7500.0,0.25,0.2,10000.0,0.3,0.25,41.8409,39.20075,44.481049999999996,0.1
890.0,890.1,0.8031582238417269,0.0418547823393417,0.0001,3.0000000000000005e-06,0,1000000.0,3813836.269846595,8000000.0,18.0,22.01976609978085,28.0,0.1500000000000909,True,Coqueiro_Seco,5000.0,0.2,0.15,7500.0,0.25,0.2,10000.0,0.3,0.25,42.0218,39.3515,44.6921,0.1
900.0,900.0,0.761094615013034,0.0621788401347975,0.0001,3.0000000000000005e-06,0,1000000.0,3490850.014279969,8000000.0,18.0,21.5583571632571,28.0,0.1500000000000909,True,Coqueiro_Seco,5000.0,0.2,0.15,7500.0,0.25,0.2,10000.0,0.3,0.25,42.2,39.5,44.9,0.1
910.0,910.05,0.5821410131880628,0.0932130882687488,0.0001,3.0000000000000005e-06,0,1000000.0,4864446.48328482,8000000.0,18.0,23.520637833264026,28.0,0.1500000000000909,True,Coqueiro_Seco,5000.0,0.2,0.15,7500.0,0.25,0.2,10000.0,0.3,0.25,42.3809,39.65075,45.11105,0.1
920.0,920.1,0.5632091306497067,0.1070045109412777,3.73205500307812,3.193548318029702e-06,0,1121212.121212121,4277350.070027398,8424242.424242424,18.60606060606061,22.866850460744924,28.424242424242426,0.1500000000000909,True,Coqueiro_Seco,5000.0,0.2,0.15,7500.0,0.25,0.2,10000.0,0.3,0.25,42.5618,39.801500000000004,45.322100000000006,0.1
930.0,930.0,0.5241989985878039,0.1116535207888182,10.128839898102052,3.6545451647928697e-06,0,1358208.9552238807,4979867.95669194,9253731.343283582,19.791044776119403,24.098228801087533,29.253731343283583,0.1500000000000909,True,Coqueiro_Seco,5000.0,0.2,0.15,7500.0,0.25,0.2,10000.0,0.3,0.25,42.739999999999995,39.95,45.53,0.1
940.0,940.05,0.5836438000083368,0.1002409996233279,0.0001,3.0000000000000005e-06,0,1000000.0,4351084.267263749,8000000.0,18.0,22.787263238948213,28.0,0.1500000000000909,True,Coqueiro_Seco,5000.0,0.2,0.15,7500.0,0.25,0.2,10000.0,0.3,0.25,42.920899999999996,40.10075,45.74105,0.1
950.0,950.1,0.4450616113081789,0.1358774673496827,19.75173542721046,4.399999332679649e-06,0,1636363.6363636365,6375513.251311603,10227272.727272728,21.181818181818183,26.055703993835053,30.227272727272727,0.1500000000000909,True,Coqueiro_Seco,5000.0,0.2,0.15,7500.0,0.25,0.2,10000.0,0.3,0.25,43.1018,40.2515,45.9521,0.1
960.0,960.0,0.6058541542055965,0.10371629498684,13.745312843058802,3.654545244082988e-06,0,1358208.9552238807,4526094.221919837,9253731.343283582,19.791044776119403,23.595026907190935,29.253731343283583,0.1500000000000909,True,Coqueiro_Seco,5000.0,0.2,0.15,7500.0,0.25,0.2,10000.0,0.3,0.25,43.28,40.4,46.16,0.1
970.0,970.05,0.423307994211072,0.1384634535809488,21.651792644010968,4.736841143291289e-06,0,1733333.3333333333,7041376.531628724,10566666.666666666,21.666666666666668,26.31551751608834,30.566666666666663,0.1500000000000909,True,Coqueiro_Seco,5000.0,0.2,0.15,7500.0,0.25,0.2,10000.0,0.3,0.25,43.460899999999995,40.55075,46.37105,0.1
1380.0,1380.0,0.7993791498497498,0.0389223743341877,0.0001,3.0000000000000005e-06,0,1000000.0,4377749.301205224,8000000.0,18.0,22.82535614457889,28.0,405.6,False,Coqueiro_Seco,5000.0,0.2,0.15,7500.0,0.25,0.2,10000.0,0.3,0.25,50.84,46.7,54.980000000000004,0.1
1390.0,1390.05,0.6920811951438021,0.0501046456396017,0.0001,3.0000000000000005e-06,0,1000000.0,5063638.878040999,8000000.0,18.0,23.805198397201423,28.0,0.1500000000000909,True,Coqueiro_Seco,5000.0,0.2,0.15,7500.0,0.25,0.2,10000.0,0.3,0.25,51.0209,46.850750000000005,55.191050000000004,0.1
1400.0,1400.1,0.7064082568344762,0.049021938694188,5.437137733692871,3.599999552011724e-06,0,1333333.3333333333,6267654.793738932,9166666.666666666,19.666666666666668,25.536997855539106,29.166666666666668,0.1500000000000909,True,Coqueiro_Seco,5000.0,0.2,0.15,7500.0,0.25,0.2,10000.0,0.3,0.25,51.2018,47.0015,55.4021,0.1
1410.0,1410.0,0.7486359554148009,0.0356602089659296,0.0001,3.0000000000000005e-06,0,1000000.0,5148581.876696988,8000000.0,18.0,23.926545538138555,28.0,0.1500000000000909,True,Coqueiro_Seco,5000.0,0.2,0.15,7500.0,0.25,0.2,10000.0,0.3,0.25,51.379999999999995,47.15,55.61,0.1
1420.0,1420.05,0.851668450604766,0.0186823819155225,0.0001,3.0000000000000005e-06,0,1000000.0,5036921.335125615,8000000.0,18.0,23.76703047875088,28.0,0.1500000000000909,True,Coqueiro_Seco,5000.0,0.2,0.15,7500.0,0.25,0.2,10000.0,0.3,0.25,51.5609,47.30075,55.82105,0.1
1430.0,1430.1,0.7754953216010142,0.0257327492999162,0.0001,3.0000000000000005e-06,0,1000000.0,4491571.686656588,8000000.0,18.0,22.987959552366554,28.0,0.1500000000000909,True,Coqueiro_Seco,5000.0,0.2,0.15,7500.0,0.25,0.2,10000.0,0.3,0.25,51.7418,47.451499999999996,56.0321,0.1
